BBB|0
BBD|18
BBF|67
BBG|76
BBH|95
BBK|269
BBL|335
BBM|588
BBN|807
BBR|900
BBS|910
BBT|1005
BBW|1044
BBX|1073
BBY|1616
BDB|1676
BDF|1705
BDH|1736
BDK|2317
BDL|2393
BDM|3307
BDN|3508
BDR|4500
BDS|4709
BDT|4745
BDW|4932
BDX|5092
BDY|5589
BFB|5722
BFD|5742
BFH|5761
BFK|6011
BFL|6108
BFM|6212
BFN|6269
BFR|6279
BFS|6299
BFT|6337
BFW|6375
BFX|6394
BFY|6518
BFZ|6537
BGB|6547
BGD|6567
BGF|6660
BGH|6800
BGK|6820
BGL|6830
BGM|6955
BGN|6964
BGR|7080
BGT|7097
BGW|7252
BGX|7290
BGY|7340
BHB|7896
BHD|8319
BHF|8375
BHH|9050
BHK|9307
BHL|9778
BHM|10642
BHN|14432
BHR|15318
BHS|15870
BHT|16248
BHW|16609
BHX|17909
BHY|19047
BHZ|19361
BKB|19835
BKD|20066
BKF|20190
BKG|20560
BKH|20570
BKK|20809
BKL|20964
BKM|22278
BKN|24898
BKR|25104
BKS|25395
BKT|25482
BKW|25729
BKX|26289
BKY|26762
BKZ|27000
BLB|27046
BLD|27620
BLF|27854
BLG|28190
BLH|29130
BLK|33581
BLL|35129
BLM|36112
BLN|37487
BLR|37863
BLS|38010
BLT|38351
BLW|38823
BLX|39762
BLY|42372
BLZ|42833
BMB|43665
BMD|43872
BMF|43911
BMG|44042
BMH|44079
BMK|44282
BML|45442
BMM|45681
BMN|45912
BMR|46831
BMS|46953
BMT|47420
BMW|48029
BMX|48073
BMY|48981
BMZ|49359
BNB|49427
BND|49611
BNF|49669
BNG|50130
BNH|50257
BNK|50645
BNL|51006
BNM|51681
BNN|52138
BNR|52398
BNS|52712
BNT|53356
BNW|53570
BNX|53959
BNY|56511
BNZ|56823
BRB|56987
BRD|57436
BRF|57522
BRH|57655
BRK|58976
BRL|59486
BRM|59764
BRN|60112
BRR|61007
BRS|61081
BRT|61420
BRW|61633
BRX|62144
BRY|62853
BRZ|62912
BSB|63165
BSD|63307
BSF|63403
BSG|63537
BSH|63567
BSK|63834
BSL|63930
BSM|64225
BSN|65707
BSR|65961
BSS|68585
BST|68604
BSW|69026
BSX|69092
BSY|69416
BSZ|69648
BTB|69684
BTD|69781
BTF|69819
BTG|69894
BTH|70385
BTK|70597
BTL|70819
BTM|71780
BTN|72341
BTR|73060
BTS|73214
BTT|73371
BTW|73479
BTX|73928
BTY|74412
BTZ|74451
BWB|74501
BWD|74698
BWF|74718
BWG|74757
BWH|74767
BWK|74984
BWL|75241
BWM|76140
BWN|76325
BWR|76438
BWS|76561
BWT|76744
BWX|76935
BWY|77534
BWZ|77722
BXB|77895
BXD|78247
BXF|81479
BXG|81640
BXH|81649
BXK|82669
BXL|83279
BXM|84738
BXN|85468
BXR|87465
BXS|87648
BXT|89384
BXW|89642
BXX|89749
BXY|90140
BXZ|91779
BYB|92504
BYD|92539
BYF|92774
BYH|92805
BYK|92984
BYL|93050
BYM|93252
BYN|93396
BYR|97165
BYS|97174
BYT|97231
BYW|97853
BYX|98239
BYY|98566
BYZ|98586
BZB|98612
BZD|98669
BZF|98679
BZG|98699
BZH|98716
BZK|98896
BZL|98938
BZM|99223
BZN|99261
BZR|99532
BZS|99565
BZT|99575
BZX|99734
BZZ|99827
DBD|99836
DBF|99865
DBG|99875
DBH|99945
DBK|100162
DBL|100237
DBM|100441
DBN|100566
DBR|100652
DBS|101103
DBT|101143
DBW|101295
DBX|101332
DBY|101735
DDB|101831
DDF|101860
DDH|101870
DDK|101907
DDL|101972
DDM|102407
DDN|102486
DDR|102760
DDS|102808
DDT|102838
DDW|102922
DDX|103040
DDY|103079
DFD|103088
DFF|103118
DFH|103137
DFK|103336
DFL|103393
DFM|103622
DFN|103715
DFR|103822
DFS|103886
DFT|104105
DFX|104189
DFY|104507
DFZ|104618
DGL|104647
DGN|104657
DGS|104677
DGT|104704
DGY|104727
DHB|104746
DHD|104861
DHF|104978
DHH|105131
DHK|105298
DHL|105547
DHM|107174
DHN|109255
DHR|109486
DHS|109728
DHT|109880
DHW|109984
DHX|110655
DHY|111142
DHZ|111246
DKB|111324
DKD|111430
DKF|111498
DKH|111644
DKK|111692
DKL|111730
DKM|112304
DKN|113403
DKR|114337
DKS|114436
DKT|114499
DKW|114792
DKX|115028
DKY|115123
DKZ|115200
DLB|115332
DLD|115570
DLF|115627
DLG|115800
DLH|115819
DLK|118806
DLL|119486
DLM|120987
DLN|121647
DLR|122458
DLS|122497
