DKI|1018437
DKU|1018567
DLA|1018737
DLI|1019041
DLU|1019785
DMA|1019969
DMI|1020117
DMU|1020157
DNA|1020176
DNI|1021188
DNU|1021333
DRA|1021342
DRI|1021748
DRU|1022311
DSA|1022381
DTA|1022602
DTU|1022757
DUB|1023196
DUD|1023657
DUF|1024021
DUG|1024492
DUH|1024502
DUK|1025875
DUL|1026384
DUM|1028181
DUN|1028943
DUR|1034646
DUS|1035543
DUT|1035876
DUW|1035923
DUX|1037102
DUY|1038723
DUZ|1038832
DWA|1038963
DWI|1039293
DWU|1039304
DXA|1039322
DXI|1040676
DXU|1040799
DYA|1042025
DYI|1042277
DYU|1042286
DZA|1042296
DZI|1042774
FAB|1042888
FAD|1044112
FAF|1045493
FAG|1045923
FAH|1046093
FAK|1048512
FAL|1052163
FAM|1057257
FAN|1059619
FAR|1061118
FAS|1065177
FAT|1068036
FAW|1071318
FAX|1072811
FAY|1081413
FAZ|1082997
FBI|1084325
FDA|1084335
FDI|1084364
FDU|1084385
FHA|1084395
FHU|1084475
FIB|1084485
FID|1084745
FIF|1085796
FIG|1085965
FIH|1086084
FIK|1090303
FIL|1092094
FIM|1096517
FIN|1097259
FIR|1098191
FIS|1101926
FIT|1104250
FIW|1104825
FIX|1105154
FIY|1106615
FIZ|1106871
FKA|1108317
FKI|1108529
FKU|1108568
FLA|1108619
FLI|1108893
FLU|1109273
FMA|1109282
FMI|1109292
FNA|1109311
FNI|1109561
FRA|1109572
FRI|1109875
FRU|1110084
FSA|1110170
FSI|1110550
FSU|1111813
FTA|1112048
FTI|1112745
FTU|1112935
FUB|1113194
FUD|1113298
FUF|1113328
FUH|1113476
FUK|1113741
FUL|1113866
FUM|1114499
FUN|1114762
FUR|1116173
FUS|1118237
FUT|1119751
FUW|1119840
FUX|1120087
FUY|1120820
FUZ|1120831
FWA|1120961
FXA|1121182
FXI|1121897
FXU|1122063
FYA|1122165
FZA|1122184
FZI|1122203
FZU|1122232
GAB|1122262
GAD|1122431
GAF|1122780
GAL|1124146
GAM|1124543
GAN|1124758
GAR|1125125
GAS|1125378
GAT|1125558
GAW|1125695
GAX|1125942
GAY|1126275
GAZ|1128324
GDA|1128334
GDU|1128383
GFA|1128419
GFI|1128499
GFU|1129633
GHU|1129643
GIB|1129653
GID|1129703
GIF|1129733
GIG|1129752
GIH|1129761
GIK|1129821
GIL|1129831
GIM|1129981
GIN|1129991
GIR|1130030
GIS|1130148
GIT|1130207
GIW|1130227
GIY|1130256
GIZ|1130325
GKU|1130358
GLA|1130367
GLI|1130460
GLU|1130529
GMA|1130605
GMI|1130614
GNA|1130635
GNI|1130882
GNU|1131178
GRA|1131208
GRI|1131424
GRU|1131551
GSA|1131571
GSI|1131687
GSU|1131737
GTA|1131747
GTU|1131953
GUB|1131993
GUD|1132032
GUF|1132102
GUH|1132131
GUK|1132171
GUL|1132209
GUM|1132518
GUN|1132621
GUR|1132897
GUS|1133106
GUT|1133156
GUW|1133232
GUX|1133271
GUY|1133363
GUZ|1133402
GWA|1133411
GWI|1133499
GWU|1133567
GXA|1133577
GYA|1133606
GYI|1133761
GYU|1133781
HAB|1133801
HAD|1137025
HAF|1140066
HAG|1142536
HAH|1142946
HAK|1144343
HAL|1149637
HAM|1157350
HAN|1160736
HAR|1163560
HAS|1167735
HAT|1170818
HAW|1174532
HAX|1178906
HAY|1182563
HAZ|1186716
HBA|1191457
HBI|1191688
HDA|1191931
HDI|1192512
HDU|1193616
HFA|1193746
HFI|1193887
HFU|1194086
HHU|1194217
HIB|1194247
HID|1195712
HIF|1197361
HIG|1199513
HIH|1199612
HIK|1200900
HIL|1202538
HIM|1206318
HIN|1219382
HIR|1221430
HIS|1225179
HIT|1226998
HIW|1228183
HIX|1233955
HIY|1238341
HIZ|1240394
HKA|1242181
HKI|1242250
HKU|1242271
HLA|1242673
HLI|1243861
HLU|1245168
HMA|1245623
HMI|1248575
HMU|1248809
HNA|1248838
HNI|1248985
HNU|1249025
HRA|1249812
HRI|1250965
HRU|1252035
HSA|1252751
HSI|1254341
HSU|1254960
HTA|1255196
HTI|1256650
HTU|1257273
HUB|1257450
HUD|1259748
HUF|1261211
HUG|1263455
HUH|1263795
HUK|1265347
HUL|1267373
HUM|1271920
HUN|1292531
HUR|1295305
HUS|1296468
HUT|1298326
HUW|1298762
HUX|1305887
HUY|1311144
HUZ|1312504
HWA|1313853
HWI|1314494
HWU|1314577
HXA|1314616
HXI|1314625
HYA|1314656
HYI|1315025
HYU|1315435
HZA|1315494
HZI|1316088
HZU|1316410
IBA|1316664
IBD|1322272
IBF|1322301
IBG|1322310
IBH|1322337
IBI|1322475
IBK|1325149
IBL|1325303
IBN|1325499
