BBB|0
BBD|18
BBF|67
BBG|76
BBH|95
BBK|269
BBL|335
BBM|588
BBN|807
BBR|900
BBS|910
BBT|1002
BBW|1041
BBX|1070
BBY|1606
BDB|1666
BDF|1722
BDH|1762
BDK|2368
BDL|2483
BDM|3635
BDN|3864
BDR|4989
BDS|5217
BDT|5253
BDW|5586
BDX|5746
BDY|6244
BFB|6377
BFD|6397
BFH|6426
BFK|6676
BFL|6773
BFM|6877
BFN|6934
BFR|6944
BFS|6964
BFT|7002
BFW|7040
BFX|7059
BFY|7183
BGB|7202
BGD|7222
BGF|7315
BGH|7455
BGK|7475
BGL|7485
BGM|7610
BGN|7619
BGR|7735
BGT|7752
BGW|7904
BGX|7942
BGY|7992
BHB|8542
BHD|8962
BHF|9286
BHH|9955
BHK|10212
BHL|10680
BHM|11514
BHN|15150
BHR|16025
BHS|16571
BHT|16945
BHW|17303
BHX|18567
BHY|19682
BHZ|19996
BKB|20202
BKD|20433
BKF|20603
BKG|20973
BKH|20983
BKK|21222
BKL|21377
BKM|22679
BKN|25236
BKR|25440
BKS|25728
BKT|25815
BKW|26062
BKX|26619
BKY|27092
BLB|27330
BLD|27904
BLF|28630
BLG|28966
BLH|29894
BLK|34281
BLL|35823
BLM|36790
BLN|38136
BLR|38509
BLS|38656
BLT|38997
BLW|39460
BLX|40387
BLY|42966
BLZ|43424
BMB|43749
BMD|43956
BMF|44015
BMG|44146
BMH|44183
BMK|44386
BML|45529
BMM|45768
BMN|45993
BMR|46900
BMS|47022
BMT|47479
BMW|48088
BMX|48132
BMY|49028
BMZ|49406
BNB|49454
BND|49634
BNF|49798
BNG|50252
BNH|50376
BNK|50761
BNL|51119
BNM|51788
BNN|52242
BNR|52502
BNS|52816
BNT|53460
BNW|53659
BNX|54045
BNY|56554
BNZ|56863
BRB|56921
BRD|57370
BRF|57466
BRH|57599
BRK|58898
BRL|59408
BRM|59686
BRN|60031
BRR|60926
BRS|61000
BRT|61339
BRW|61552
BRX|62060
BRY|62757
BRZ|62816
BSB|63056
BSD|63198
BSF|63294
BSG|63428
BSH|63458
BSK|63725
BSL|63821
BSM|64109
BSN|65582
BSR|65827
BSS|68409
BST|68428
BSW|68829
BSX|68895
BSY|69213
BSZ|69442
BTB|69478
BTD|69572
BTF|69640
BTG|69715
BTH|70199
BTK|70411
BTL|70633
BTM|71582
BTN|72121
BTR|72837
BTS|72991
BTT|73144
BTW|73252
BTX|73701
BTY|74182
BTZ|74221
BWB|74241
BWD|74438
BWF|74458
BWG|74497
BWH|74507
BWK|74724
BWL|74981
BWM|75860
BWN|76045
BWR|76158
BWS|76281
BWT|76464
BWX|76655
BWY|77251
BWZ|77439
BXB|77612
BXD|77964
BXF|81482
BXG|81643
BXH|81652
BXK|82654
BXL|83264
BXM|84692
BXN|85407
BXR|87376
BXS|87559
BXT|89264
BXW|89522
BXX|89629
BXY|90020
BXZ|91656
BYB|91755
BYD|91790
BYF|92033
BYH|92064
BYK|92243
BYL|92309
BYM|92511
BYN|92655
BYR|96211
BYS|96220
BYT|96277
BYW|96837
BYX|97220
BYY|97522
BYZ|97542
BZB|97560
BZD|97590
BZF|97609
BZG|97620
BZH|97637
BZL|97789
BZM|97799
BZN|97809
BZR|97935
BZS|97946
BZX|97956
DBB|98039
DBD|98659
DBF|98725
DBG|98793
DBH|98863
DBK|99604
DBL|99836
DBM|100826
DBN|101387
DBR|103829
DBS|104442
DBT|104628
DBW|105027
DBX|105530
DBY|106280
DBZ|106735
DDB|106785
DDF|106814
DDH|106843
DDK|106974
DDL|107180
DDM|108040
DDN|108119
DDR|108473
DDS|108583
DDT|108613
DDW|108706
DDX|108834
DDY|108961
DFB|108970
DFD|108988
DFF|109114
DFH|109153
DFK|109411
DFL|109488
DFM|109754
DFN|109856
DFR|109989
DFS|110173
DFT|110459
DFW|110629
DFX|110638
DFY|111016
DFZ|111127
DGD|111175
DGF|111183
DGL|111193
DGN|111213
DGR|111233
DGS|111243
DGT|111288
DGY|111308
DHB|111327
DHD|112021
DHF|112374
DHH|112564
DHK|112760
DHL|113018
DHM|115186
DHN|117736
DHR|118004
DHS|118822
DHT|119047
DHW|119217
DHX|120104
DHY|120702
DHZ|120913
DKB|120997
DKD|121130
DKF|121452
DKH|121664
DKK|121839
DKL|121887
DKM|123366
DKN|124643
DKR|125943
DKS|128569
DKT|128660
DKW|129004
DKX|129295
DKY|129507
DLB|129593
DLD|129907
DLF|130473
DLG|130761
DLH|130789
DLK|134043
DLL|139404
DLM|141230
DLN|144874
DLR|145730
